1,Basketball,Basketball Men's Basketball
3,Judo,Judo Men's Extra-Lightweight
5,Football,Football Men's Football
7,Tug-Of-War,Tug-Of-War Men's Tug-Of-War
9,Speed Skating,Speed Skating Women's 500 metres
11,Speed Skating,"Speed Skating Women's 1,000 metres"
12,Cross Country Skiing,Cross Country Skiing Men's 10 kilometres
14,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres
15,Cross Country Skiing,Cross Country Skiing Men's 10/15 kilometres Pursuit
16,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay
17,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres
18,Athletics,Athletics Women's 100 metres
20,Athletics,Athletics Women's 4 x 100 metres Relay
21,Ice Hockey,Ice Hockey Men's Ice Hockey
23,Swimming,Swimming Men's 400 metres Freestyle
25,Badminton,Badminton Men's Singles
27,Sailing,Sailing Women's Windsurfer
29,Biathlon,Biathlon Women's 7.5 kilometres Sprint
31,Swimming,Swimming Men's 200 metres Breaststroke
32,Swimming,Swimming Men's 400 metres Breaststroke
33,Gymnastics,Gymnastics Men's Individual All-Around
35,Gymnastics,Gymnastics Men's Team All-Around
36,Gymnastics,Gymnastics Men's Floor Exercise
37,Gymnastics,Gymnastics Men's Horse Vault
38,Gymnastics,Gymnastics Men's Parallel Bars
39,Gymnastics,Gymnastics Men's Horizontal Bar
40,Gymnastics,Gymnastics Men's Rings
41,Gymnastics,Gymnastics Men's Pommelled Horse
42,Athletics,Athletics Men's Shot Put
43,Art Competitions,"Art Competitions Mixed Sculpturing, Unknown Event"
45,Alpine Skiing,Alpine Skiing Men's Downhill
47,Alpine Skiing,Alpine Skiing Men's Super G
48,Alpine Skiing,Alpine Skiing Men's Giant Slalom
49,Alpine Skiing,Alpine Skiing Men's Slalom
50,Alpine Skiing,Alpine Skiing Men's Combined
51,Handball,Handball Women's Handball
53,Weightlifting,Weightlifting Women's Super-Heavyweight
55,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman"
57,Speed Skating,Speed Skating Men's 500 metres
58,Speed Skating,"Speed Skating Men's 1,500 metres"
59,Gymnastics,"Gymnastics Men's Team All-Around, Free System"
60,Luge,Luge Women's Singles
62,Water Polo,Water Polo Men's Water Polo
64,Sailing,Sailing Mixed Three Person Keelboat
65,Hockey,Hockey Women's Hockey
67,Rowing,Rowing Men's Lightweight Double Sculls
69,Athletics,Athletics Men's Pole Vault
70,Athletics,Athletics Men's High Jump
71,Sailing,Sailing Men's Two Person Dinghy
72,Athletics,"Athletics Men's 1,500 metres"
73,Bobsleigh,Bobsleigh Men's Four
75,Swimming,Swimming Men's 100 metres Butterfly
76,Swimming,Swimming Men's 200 metres Butterfly
77,Swimming,Swimming Men's 4 x 100 metres Medley Relay
78,Football,Football Women's Football
79,Fencing,"Fencing Men's Foil, Individual"
81,Fencing,"Fencing Men's epee, Individual"
82,Fencing,"Fencing Men's epee, Team"
83,Speed Skating,"Speed Skating Men's 5,000 metres"
84,Speed Skating,"Speed Skating Men's 10,000 metres"
85,Sailing,Sailing Mixed 8 metres
86,Equestrianism,"Equestrianism Mixed Jumping, Individual"
88,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres
89,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres"
91,Shooting,"Shooting Men's Rapid-Fire Pistol, 25 metres"
92,Shooting,Shooting Men's Trap
93,Athletics,Athletics Men's 4 x 100 metres Relay
